,mIOU,Speed (ms),background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tv
2007_000033.jpg,0.96415114,426.9478,0.9872398972511292,0.941062331199646,,,,,,,,,,,,,,,,,,,
2007_000042.jpg,0.94595319,425.7138,0.9355781674385071,,,,,,,,,,,,,,,,,,,0.9563282132148743,
2007_000061.jpg,0.82355666,444.891,0.9763210415840149,,,,0.670792281627655,,,,,,,,,,,,,,,,
2007_000123.jpg,0.97046244,473.8731,0.9761388301849365,,,,,,,,,,,,,,,,,,,0.9647861123085022,
2007_000129.jpg,0.84759108,443.3508,0.9124095439910889,,0.7802619338035583,,,,,,,,,,,,,0.8501017689704895,,,,,
2007_000175.jpg,0.97812557,424.9575,0.985115647315979,,,,,,,,,,,,,,,,,0.9711355566978455,,,
2007_000187.jpg,0.88510209,436.6112,0.9309049844741821,,,,,,,,,,,,,,,,,,,,0.839299201965332
2007_000323.jpg,0.94657445,432.7326,0.9168251752853394,,,,,,,,,,,,,,,0.976323664188385,,,,,
2007_000332.jpg,0.37098207,489.0165,0.9758484363555908,,,,,,,0.0,,0.0,,,,0.8790618777275085,,0.0,,,,,
2007_000346.jpg,0.96691902,455.3328,0.9765614867210388,,,,,0.9680032730102539,,,,,,,,,,0.9561922550201416,,,,,
2007_000452.jpg,0.4665453,452.1832,0.9148135185241699,,,,,,,,,0.10041254758834839,,,,,,,,,0.3844098150730133,,
2007_000464.jpg,0.97956944,436.5525,0.9972862005233765,,,,,,,,,,0.9618526101112366,,,,,,,,,,
2007_000491.jpg,0.6341509,495.6756,0.9435397386550903,,,,,,,,,,0.9589129090309143,,,,,0.0,,,,,
2007_000529.jpg,0.60455052,442.0793,0.9198669195175171,,,,0.015612024813890457,,,0.8781725764274597,,,,,,,,,,,,,
2007_000559.jpg,0.82591724,444.8845,0.9622662663459778,,,,,0.6119559407234192,,,,,,,,,,,,,,,0.9035295844078064
2007_000572.jpg,0.61267966,444.1082,0.9056742191314697,,0.3196851313114166,,,,,,,,,,,,,,,,,,
2007_000629.jpg,0.58100335,425.9987,0.9283711314201355,,,,,,,,,,,,,,,0.0,,,,0.8146388530731201,
2007_000636.jpg,0.63676135,426.3012,0.977849543094635,,,,,,,,,,,,,,,0.0,,,,0.9324344396591187,
2007_000661.jpg,0.44920948,424.6385,0.9743518829345703,,,,,,,,,0.0,,,,,,,0.0,,0.8224860429763794,,
2007_000663.jpg,0.48568347,424.0587,0.7981789708137512,,,,,,0.9283971190452576,0.21615779399871826,,,,,,,,0.0,,,,,
2007_000676.jpg,0.99336362,433.1739,0.9968430399894714,,,,,,,,,,,,,,,,,0.9898841381072998,,,
2007_000727.jpg,0.82094836,421.6871,0.9708915948867798,,,,,,0.794613242149353,0.7244741916656494,,,,,,,,0.7938144207000732,,,,,
2007_000762.jpg,0.75290525,439.5311,0.725043773651123,,,,,0.8652384281158447,,,,,,0.6240401864051819,,,,0.7972986698150635,,,,,
2007_000783.jpg,0.87002333,433.8679,0.9835727214813232,,,,,,,,,,,,,0.8918684124946594,,0.7346288561820984,,,,,
2007_000799.jpg,0.86429501,426.6148,0.960848867893219,,,,,,,,,,,,,0.8414455056190491,,0.7905905842781067,,,,,
2007_000804.jpg,0.33768666,416.9934,0.8714114427566528,,,,,,,,,0.13801707327365875,,,,,,0.0,,,0.6790047883987427,,0.0
2007_000830.jpg,0.50834751,423.8605,0.9653599262237549,,,,,,,,,0.4554038941860199,,0.612626314163208,,,,,0.0,,,,
2007_000837.jpg,0.86561775,481.339,0.9962512254714966,,,,0.7349842190742493,,,,,,,,,,,,,,,,
2007_000847.jpg,0.53777806,428.7045,0.7561870217323303,,,,,,,,,,,0.0,,,,0.8571471571922302,,,,,
2007_000862.jpg,0.55942293,474.5321,0.9994366765022278,,,,0.6788321137428284,,,,,,,,,,,0.0,,,,,
2007_000925.jpg,0.98355931,427.4805,0.991003155708313,,,,,,,,,,,,,,,,,0.9761154651641846,,,
2007_000999.jpg,0.90930414,435.4675,0.9831336140632629,,,,,0.7686653733253479,,,,,,,,,,0.9761134386062622,,,,,
2007_001154.jpg,0.76454981,424.2892,0.9958909749984741,,,,,,,,,,,,,,,,0.32093024253845215,,0.9768282175064087,,
2007_001175.jpg,0.3601834,421.7994,0.9115743041038513,,,,,,,,,0.0,,,0.0,,,0.426593154668808,,,0.0,,0.8229328989982605
2007_001239.jpg,0.96577489,424.3112,0.9843521118164062,,,,,,,,,,,,0.947197675704956,,,,,,,,
2007_001284.jpg,0.94734991,454.5033,0.9471050500869751,,,,,,,,,,,,,,,0.9475947022438049,,,,,
2007_001288.jpg,0.94791055,442.193,0.987429678440094,0.9083914756774902,,,,,,,,,,,,,,,,,,,
2007_001289.jpg,0.9573617,429.5559,0.9962082505226135,,,0.9185152053833008,,,,,,,,,,,,,,,,,
2007_001299.jpg,0.96995562,432.1315,0.9845032095909119,,,,,,,,,,0.9554080367088318,,,,,,,,,,
2007_001311.jpg,0.76720111,457.7198,0.9521564841270447,,0.5682590007781982,,,,,,,,,,,,,0.7811879515647888,,,,,
2007_001321.jpg,0.92428154,459.8904,0.915113627910614,,,,,,,0.9334494471549988,,,,,,,,,,,,,
2007_001377.jpg,0.33189702,445.5972,0.9956910610198975,0.0,,,0.0,,,,,,,,,,,,,,,,
2007_001408.jpg,0.47581782,441.3877,0.7747777104377747,,,,,0.7495443224906921,,,,,,0.0,,,,0.8547671437263489,0.0,,,,
